Casa;Fora;PlacarCasa;PlacarFora;PartidasCasa;PartidasFora;PartidasEmCasa;PartidasEmFora;TotalCasa;TotalProCasa;TotalContraCasa;TotalEmCasa;TotalProEmCasa;TotalContraEmCasa;TotalFora;TotalProFora;TotalContraFora;TotalEmFora;TotalProEmFora;TotalContraEmFora;Total15Casa;Total15EmCasa;Total25Casa;Total25EmCasa;Total15Fora;Total15EmFora;Total25Fora;Total25EmFora;
Vasco da Gama;Bahia;1;0;6;6;3;3;8;5;3;4;3;1;11;9;2;4;2;2;8;8;0;0;3;0;1;0
Ituano;Gremio;1;1;6;6;3;3;11;6;5;5;4;1;9;6;3;6;2;4;6;6;4;4;2;0;1;0
Novorizontino;Sport Recife;0;0;7;7;3;4;15;8;7;10;5;5;8;6;2;5;3;2;5;5;3;3;3;0;0;0
CRB;Londrina;1;0;7;7;3;3;18;5;13;8;4;4;17;7;10;10;1;9;8;8;2;2;5;0;3;0
Gremio;Criciuma;0;0;7;7;3;3;11;7;4;7;5;2;13;7;6;4;2;2;8;8;1;1;7;0;1;0
Vila Nova;Chapecoense;0;0;7;7;3;3;16;7;9;4;3;1;9;5;4;12;4;8;9;9;2;2;6;0;2;0
Guarani;Vasco da Gama;0;0;7;7;3;3;10;4;6;1;1;0;9;6;3;9;3;6;6;6;2;2;8;0;0;0
Nautico;CSA;1;1;7;7;4;3;13;5;8;6;3;3;8;3;5;7;2;5;6;6;2;2;6;0;0;0
Brusque;Tombense;1;0;7;7;3;3;13;5;8;3;3;0;14;6;8;10;2;8;6;6;4;4;5;0;0;0
Bahia;Ponte Preta;2;1;7;7;3;3;12;9;3;7;7;0;7;3;4;5;2;3;3;3;1;1;5;0;0;0
Operario PR;Ituano;3;2;7;7;3;3;11;6;5;5;4;1;13;7;6;6;2;4;5;5;0;0;7;0;4;0
Cruzeiro;Sampaio Correa;2;0;7;7;3;3;10;7;3;3;3;0;15;8;7;7;4;3;7;7;0;0;8;0;5;0
Sport Recife;CRB;0;1;8;8;3;4;8;6;2;4;4;0;19;6;13;4;2;2;3;3;0;0;8;0;2;0
Ponte Preta;Chapecoense;0;0;8;8;4;4;10;4;6;4;3;1;9;5;4;6;1;5;5;5;3;3;6;0;2;0
Londrina;Operario PR;2;1;8;8;4;4;18;7;11;11;7;4;16;9;7;7;0;7;5;5;3;3;6;0;1;0
Vasco da Gama;Brusque;2;0;8;8;4;4;9;6;3;5;4;1;14;6;8;4;2;2;8;8;0;0;6;0;4;0
Ituano;Nautico;0;0;8;8;4;3;18;9;9;7;5;2;15;6;9;11;4;7;7;7;2;2;7;0;2;0
Tombense;Bahia;1;0;8;8;4;4;15;6;9;8;4;4;15;11;4;7;2;5;5;5;0;0;4;0;2;0
Criciuma;Cruzeiro;0;1;8;8;4;4;13;7;6;8;6;2;12;9;3;5;1;4;7;7;1;1;8;0;0;0
CSA;Novorizontino;2;1;8;8;4;4;10;4;6;5;3;2;15;8;7;5;1;4;8;8;0;0;5;0;3;0
